AtBat,HmRun,RBI,Walks,Years,CHmRun,PutOuts,Assists,Errors,League_N,Division_W,NewLeague_N,Hits_per_AtBat,Salary
550,29,91,71,6,117,1218,104,10,False,True,False,0.26678765880217786,1310.0
190,2,8,15,5,5,102,177,16,False,True,False,0.24083769633507854,175.0
629,18,102,40,18,164,1067,157,14,False,False,False,0.26666666666666666,776.667
181,6,23,22,1,6,88,0,3,True,True,True,0.31868131868131866,86.5
441,16,73,80,14,209,97,218,16,False,True,False,0.2895927601809955,1500.0
507,29,85,91,18,347,808,108,2,False,False,False,0.24015748031496062,535.0
524,9,47,54,2,14,212,327,20,False,False,False,0.25142857142857145,524.3255047169811
343,6,36,40,15,70,211,56,13,False,False,False,0.29941860465116277,430.0
186,7,16,11,1,7,99,3,1,True,True,True,0.23529411764705882,524.3255047169811
522,9,46,62,13,153,352,9,1,False,False,False,0.31166347992351817,1000.0
574,31,101,64,3,53,1253,111,11,True,True,True,0.2643478260869565,215.0
374,5,26,62,7,26,756,64,15,True,True,True,0.25066666666666665,875.0
475,3,43,52,6,7,37,113,7,False,True,False,0.2647058823529412,385.0
327,13,29,45,18,78,659,53,7,False,False,False,0.2073170731707317,400.0
419,6,36,22,3,8,226,7,4,True,True,True,0.2571428571428571,110.0
549,7,47,42,1,7,255,450,17,True,True,True,0.27090909090909093,140.0
315,5,37,16,4,6,227,15,3,False,True,False,0.2310126582278481,110.0
497,7,38,26,11,40,304,347,10,False,False,False,0.27309236947791166,850.0
576,8,49,57,4,19,325,12,8,True,False,True,0.28942807625649913,210.0
572,18,49,65,2,36,325,13,3,False,True,False,0.26527050610820246,200.0
438,2,32,71,2,2,276,7,9,False,True,True,0.23462414578587698,100.0
627,25,81,70,6,133,240,482,13,False,False,False,0.2818471337579618,1350.0
618,20,110,62,13,351,330,16,8,False,False,False,0.32310177705977383,2412.5
185,1,8,21,2,1,76,127,7,True,False,False,0.1989247311827957,70.0
338,18,60,21,3,36,0,0,0,False,False,False,0.2713864306784661,145.0
313,9,30,39,17,224,127,221,7,False,True,False,0.267515923566879,524.3255047169811
22,1,2,1,6,2,812,84,11,False,True,False,0.43478260869565216,524.3255047169811
522,16,77,60,4,22,1320,166,17,True,False,True,0.2676864244741874,200.0
341,9,49,46,9,50,251,9,4,False,False,False,0.3216374269005848,560.0
244,9,25,35,4,49,142,14,2,True,True,True,0.23673469387755103,340.0
404,11,49,18,6,30,222,5,5,False,False,False,0.2271604938271605,300.0
528,21,74,41,6,97,885,105,8,True,False,True,0.2495274102079395,1008.333
407,8,30,30,2,14,172,317,25,True,True,True,0.22794117647058823,150.0
255,7,35,43,15,154,51,54,8,True,False,True,0.2734375,450.0
599,10,74,32,5,27,231,374,18,False,False,False,0.305,775.0
